report_id,system_name,timestamp,error_code,response_time_ms,cpu_usage,memory_usage,status,cost_usd
85,AuthServer,8/1/2025 11:25,ERR_503,497,70,39,FAILED,0.24
86,WebServer,8/1/2025 11:26,OK,334,50,52,SUCCESS,0.29
87,DBServer,8/1/2025 11:27,ERR_500,108,49,78,FAILED,0.27
88,AuthServer,8/1/2025 11:28,ERR_500,329,46,47,FAILED,0.13
89,AuthServer,8/1/2025 11:29,WARN_299,492,89,61,WARNING,0.24
90,APIService,8/1/2025 11:30,ERR_408,616,68,71,FAILED,0.13
91,DBServer,8/1/2025 11:31,ERR_408,595,84,35,FAILED,0.27
92,DBServer,8/1/2025 11:32,ERR_408,610,46,59,FAILED,0.21
93,WebServer,8/1/2025 11:33,ERR_503,169,70,53,FAILED,0.25
94,APIService,8/1/2025 11:34,WARN_299,281,78,61,WARNING,0.13
95,APIService,8/1/2025 11:35,OK,630,78,37,SUCCESS,0.14
96,AuthServer,8/1/2025 11:36,WARN_299,319,59,62,WARNING,0.25
97,AuthServer,8/1/2025 11:37,OK,460,78,35,SUCCESS,0.23
98,DBServer,8/1/2025 11:38,ERR_500,447,88,59,FAILED,0.27
99,APIService,8/1/2025 11:39,ERR_503,216,45,78,FAILED,0.3
100,APIService,8/1/2025 11:40,OK,272,86,55,SUCCESS,0.09
